Data,Num1,Num2,Num3,Num4,Num5,Num6,Jolly,SuperStar
2024-02-29,13,28,36,41,79,88,30,32
2024-03-01,5,16,44,61,80,90,25,16
2024-03-02,26,50,51,55,85,87,14,19
2024-03-05,16,43,53,79,80,82,74,61
2024-03-07,3,13,24,60,70,75,71,30
2024-03-08,9,16,23,50,53,79,55,84
2024-03-09,10,30,36,49,55,62,32,66
2024-03-12,7,25,46,67,69,86,23,77
2024-03-14,14,23,51,55,68,76,77,86
2024-03-15,5,6,7,50,72,74,82,26
2024-03-16,12,38,45,66,70,73,58,85
2024-03-19,4,19,58,60,67,82,48,29
2024-03-21,2,8,17,73,77,84,4,84
2024-03-22,13,16,59,66,77,79,82,75
2024-03-23,32,34,57,58,67,79,61,66
2024-03-26,2,24,43,74,81,85,63,40
2024-03-28,5,9,22,69,74,84,80,83
2024-03-29,20,30,32,38,61,67,60,6
2024-03-30,8,25,28,45,54,66,89,28
2024-04-02,28,39,40,44,72,76,52,52
2024-04-04,8,33,36,41,51,68,71,8
2024-04-05,23,40,42,60,62,63,26,80
2024-04-06,14,33,53,54,64,78,39,85
2024-04-09,15,23,31,45,51,58,60,64
2024-04-11,8,31,67,77,81,86,10,62
2024-04-12,10,23,47,49,84,85,5,24
2024-04-13,1,6,7,11,79,88,15,26
2024-04-16,1,3,11,53,75,81,61,26
2024-04-18,15,27,42,53,65,85,88,49
2024-04-19,9,18,65,70,75,87,53,81
2024-04-20,26,34,40,53,60,68,82,19
2024-04-23,8,12,20,24,45,73,4,3
2024-04-26,9,13,51,61,81,83,24,59
2024-04-27,24,27,41,54,62,63,37,37
2024-04-29,17,27,44,50,66,85,3,32
2024-04-30,6,7,11,20,33,81,74,8
2024-05-02,14,43,54,69,80,90,1,57
2024-05-03,17,23,43,48,52,66,88,3
2024-05-04,5,18,22,34,52,66,33,46
2024-05-07,21,23,30,45,68,85,53,89
2024-05-09,23,36,38,62,75,81,82,62
2024-05-10,6,20,40,55,71,80,12,75
2024-05-11,21,29,34,36,46,51,41,60
2024-05-14,11,27,39,43,61,85,52,43
2024-05-16,10,11,27,31,66,83,25,57
2024-05-17,13,14,41,53,60,65,5,45
2024-05-18,2,20,31,48,58,59,46,30
2024-05-21,3,28,49,72,83,84,5,17
2024-05-23,4,10,19,50,71,83,27,11
2024-05-24,2,36,39,50,59,64,19,3
2024-05-25,2,10,28,37,56,75,41,58
2024-05-28,19,41,67,76,82,85,23,10
2024-05-30,10,14,16,40,50,55,4,31
2024-05-31,14,20,24,49,83,84,62,45
2024-06-01,4,13,47,75,80,82,83,22
2024-06-04,4,18,28,41,61,75,17,72
2024-06-06,43,44,45,50,67,76,69,9
2024-06-07,39,51,52,58,72,84,11,37
2024-06-08,6,8,14,15,59,79,66,2
2024-06-11,14,27,34,47,73,88,52,52
2024-06-13,5,22,47,54,63,84,85,82
2024-06-14,15,60,82,85,86,87,45,42
2024-06-15,6,16,22,69,73,78,67,38
2024-06-18,20,32,49,50,51,58,44,59
2024-06-20,19,31,39,60,72,80,5,49
2024-06-21,21,23,28,59,79,82,74,81
2024-06-22,3,25,57,69,71,87,48,62
2024-06-25,3,18,49,63,68,82,78,51
2024-06-27,13,28,63,76,80,85,21,54
2024-06-28,21,26,33,34,45,86,28,80
2024-06-29,11,18,25,26,54,84,17,69
2024-07-02,4,7,39,71,79,89,1,11
2024-07-04,15,25,42,53,56,73,60,61
2024-07-05,10,21,23,26,35,50,87,76
2024-07-06,18,24,26,33,34,47,35,30
2024-07-09,8,26,32,34,53,58,25,78
2024-07-11,10,31,40,59,80,85,13,48
2024-07-12,43,54,60,70,75,89,30,20
2024-07-13,6,9,54,63,64,68,43,84
2024-07-16,3,18,26,54,61,72,85,30
2024-07-18,13,23,35,36,57,64,47,5
2024-07-19,13,20,39,48,74,89,47,50
2024-07-20,45,48,50,57,70,71,80,52
2024-07-23,24,59,63,64,82,90,62,24
2024-07-25,2,21,23,56,69,87,52,42
2024-07-26,1,14,21,35,64,85,70,5
2024-07-27,13,14,25,34,59,84,71,17
2024-07-30,11,13,22,34,54,77,35,72
2024-08-01,33,39,78,79,83,84,60,88
2024-08-02,34,42,69,76,81,85,36,49
2024-08-03,6,37,69,73,79,88,4,7
2024-08-06,4,11,85,86,87,88,38,2
2024-08-08,3,16,17,54,61,90,4,21
2024-08-09,23,40,60,79,80,87,50,69
2024-08-10,13,14,49,55,71,77,62,32
2024-08-13,41,43,55,65,80,85,76,74
2024-08-16,1,6,13,20,73,85,11,73
2024-08-17,6,22,43,60,66,73,31,31
2024-08-19,4,7,15,24,36,78,65,85
2024-08-20,17,23,45,57,64,89,15,31
2024-08-22,17,18,24,34,57,82,68,21
2024-08-23,5,7,59,70,72,73,33,4
2024-08-24,17,28,63,72,75,81,79,51
2024-08-27,12,23,36,42,50,71,80,40
2024-08-29,5,23,46,52,60,80,79,54
2024-08-30,7,34,47,52,74,86,78,7
2024-08-31,1,20,27,41,60,77,7,43
2024-09-03,6,38,55,71,80,85,23,24
2024-09-05,4,5,29,32,69,89,15,46
2024-09-06,2,26,37,38,69,85,66,10
2024-09-07,1,16,64,70,72,82,34,86
2024-09-10,9,11,27,53,63,78,8,88
2024-09-12,29,35,65,67,70,80,10,79
2024-09-13,2,12,16,18,59,61,56,4
2024-09-14,1,31,55,65,76,88,52,34
2024-09-17,17,28,62,64,74,84,88,90
2024-09-19,3,13,44,45,56,61,33,34
2024-09-20,14,22,42,44,47,79,85,29
2024-09-21,8,33,35,39,78,83,52,72
2024-09-24,2,25,27,50,88,90,19,86
2024-09-26,2,13,14,41,52,79,84,12
2024-09-27,4,14,42,46,53,60,31,85
2024-09-28,4,8,28,33,34,57,27,88
2024-10-01,57,60,68,70,80,83,25,64
2024-10-03,26,27,40,51,67,86,4,82
2024-10-04,5,43,57,58,72,87,3,72
2024-10-05,13,41,47,58,81,84,4,81
2024-10-08,6,21,25,59,63,68,8,70
2024-10-10,6,48,64,80,87,89,43,82
2024-10-11,31,34,49,66,75,88,1,16
2024-10-12,11,13,16,22,42,51,37,47
2024-10-15,1,23,44,45,47,60,14,19
2024-10-17,2,23,24,42,46,88,61,27
2024-10-18,19,39,41,42,45,88,40,27
2024-10-19,14,67,73,86,89,90,8,77
2024-10-22,13,23,37,43,64,79,84,20
2024-10-24,7,21,23,28,29,31,20,66
2024-10-25,5,11,39,41,62,80,78,33
2024-10-26,14,31,40,42,52,65,15,69
2024-10-29,6,17,26,35,57,64,14,23
2024-10-31,18,40,55,58,71,85,46,46
2024-11-02,3,19,27,43,61,77,80,41
2024-11-04,27,32,33,44,60,89,52,5
2024-11-05,32,43,53,75,77,88,81,79
2024-11-07,1,50,68,75,81,84,8,25
2024-11-08,13,22,49,58,64,75,20,16
2024-11-09,26,36,43,51,63,89,21,57
2024-11-12,13,28,29,32,39,81,82,36
2024-11-14,36,46,69,70,73,82,26,84
2024-11-15,2,4,5,42,53,83,23,43
2024-11-16,52,56,66,68,70,73,90,12
2024-11-19,20,34,36,68,72,74,44,49
2024-11-21,4,7,20,24,41,67,85,35
2024-11-22,6,26,51,53,78,89,79,70
2024-11-23,15,22,29,32,35,67,87,23
2024-11-26,13,23,26,31,46,89,43,24
2024-11-28,3,8,37,54,74,84,26,26
2024-11-29,21,33,44,55,75,80,53,64
2024-11-30,27,48,50,69,74,81,13,36
2024-12-03,4,17,37,56,73,90,46,11
2024-12-05,4,42,45,72,82,84,25,10
2024-12-06,21,48,60,61,67,71,86,22
2024-12-07,21,30,55,60,70,75,13,25
2024-12-10,5,54,68,69,71,81,30,56
2024-12-12,20,61,76,78,85,87,44,72
2024-12-13,16,42,54,55,65,83,27,90
2024-12-14,34,50,52,59,70,83,13,74
2024-12-17,3,25,49,58,64,66,46,77
2024-12-19,2,4,8,20,22,76,72,60
2024-12-20,17,35,43,56,63,85,23,74
2024-12-21,23,25,53,55,71,79,63,6
2024-12-24,6,18,27,30,52,56,83,80
2024-12-27,9,13,15,43,53,68,58,69
2024-12-28,28,29,46,68,81,88,79,40
2024-12-30,3,8,18,25,58,75,12,54
2024-12-31,5,16,23,40,47,80,17,13
2024-12-31,1,2,3,4,5,6,1,0
2023-01-03,8,10,30,34,51,71,20,27
2023-01-05,5,9,13,15,50,64,68,43
2023-01-07,17,41,54,60,67,86,51,12
2023-01-10,21,24,31,32,56,83,78,40
2023-01-12,9,10,22,41,44,85,5,51
2023-01-14,37,44,52,58,74,78,65,67
2023-01-17,9,10,14,40,60,68,21,9
2023-01-19,29,47,57,59,67,87,6,48
2023-01-21,22,61,66,72,80,82,67,79
2023-01-24,3,7,20,55,75,80,88,44
2023-01-26,6,25,34,60,79,86,48,81
2023-01-28,19,23,53,58,61,82,73,52
2023-01-31,13,15,23,39,41,46,30,42
2023-02-02,3,14,19,28,70,80,83,7
2023-02-04,3,42,46,49,68,81,4,81
2023-02-07,24,54,58,65,81,89,63,20
2023-02-09,3,10,25,44,57,90,53,68
2023-02-11,4,24,25,28,31,68,79,65
2023-02-14,19,22,67,71,79,85,23,13
2023-02-16,1,38,47,52,56,66,72,23
2023-02-18,22,46,52,57,65,72,31,2
2023-02-21,7,31,44,63,80,83,87,77
2023-02-23,6,29,34,52,58,68,59,12
2023-02-25,6,42,52,72,85,89,56,28
2023-02-28,7,16,47,49,50,73,45,41
2023-03-02,9,24,28,37,44,81,51,72
2023-03-04,4,22,24,29,49,58,69,8
2023-03-07,2,38,49,64,81,89,43,10
2023-03-09,1,19,30,41,42,77,61,32
2023-03-11,23,42,46,54,58,79,40,69
2023-03-14,8,20,25,64,87,88,75,34
2023-03-16,25,28,36,45,48,86,50,51
2023-03-18,35,37,43,47,69,73,16,47
2023-03-21,10,15,16,30,36,71,59,63
2023-03-23,6,8,41,42,66,80,79,11
2023-03-25,4,15,26,27,72,82,89,12
2023-03-28,42,52,62,64,76,79,55,56
2023-03-30,21,29,30,43,46,63,77,54
2023-04-01,5,22,36,47,73,75,51,78
2023-04-04,17,20,54,62,69,88,39,36
2023-04-06,4,28,30,42,45,50,27,55
2023-04-08,17,25,32,38,43,48,67,73
2023-04-11,9,40,55,60,69,70,34,70
2023-04-13,2,11,42,73,76,90,55,35
2023-04-15,7,22,36,52,79,86,38,51
2023-04-18,5,36,62,64,66,67,53,2
2023-04-20,4,5,7,21,45,52,77,37
2023-04-22,6,18,22,25,26,47,60,61
2023-04-24,3,7,46,69,75,82,81,28
2023-04-27,7,10,62,63,77,86,5,44
2023-04-29,21,43,55,56,73,89,13,2
2023-05-02,17,43,60,71,86,88,16,49
2023-05-04,6,9,23,57,62,72,16,22
2023-05-06,10,25,40,46,47,74,7,31
2023-05-09,18,25,41,44,60,78,36,72
2023-05-11,1,6,35,48,62,65,43,83
2023-05-13,3,31,35,57,82,84,68,16
2023-05-16,20,42,52,67,72,77,82,3
2023-05-18,5,16,35,63,69,77,29,3
2023-05-20,18,32,37,46,64,70,30,44
2023-05-23,13,23,26,27,50,63,71,1
2023-05-25,20,22,33,38,40,51,44,76
2023-05-27,12,41,64,78,79,88,58,86
2023-05-30,10,22,37,55,76,87,60,43
2023-06-01,2,37,64,83,89,90,34,23
2023-06-03,27,39,56,58,63,64,55,38
2023-06-06,17,26,51,54,61,62,73,8
2023-06-08,3,8,58,66,82,87,69,55
2023-06-10,8,30,33,40,64,78,42,59
2023-06-13,6,37,53,54,72,84,74,84
2023-06-15,4,9,21,24,52,71,8,58
2023-06-17,12,18,26,40,53,63,54,58
2023-06-20,7,42,56,69,74,76,45,4
2023-06-22,21,30,38,65,67,90,77,7
2023-06-24,1,21,32,35,59,86,38,6
2023-06-27,31,46,57,70,71,80,75,8
2023-06-29,1,27,38,41,79,81,39,29
2023-07-01,17,39,41,43,87,89,33,44
2023-07-04,11,23,50,68,89,90,41,32
2023-07-06,5,17,27,38,53,57,30,16
2023-07-07,1,13,23,73,83,85,79,3
2023-07-08,8,18,20,28,41,56,58,55
2023-07-11,39,41,58,64,71,77,9,74
2023-07-13,20,38,49,50,53,64,72,62
2023-07-14,38,41,43,55,61,71,59,75
2023-07-15,40,45,51,52,56,78,30,5
2023-07-18,22,45,49,52,60,65,23,26
2023-07-20,14,41,47,62,65,88,39,37
2023-07-21,13,38,52,56,73,90,7,24
2023-07-22,2,37,50,65,68,90,67,60
2023-07-25,6,30,48,69,71,74,62,22
2023-07-27,18,39,48,50,57,83,38,55
2023-07-28,1,23,33,50,55,78,45,82
2023-07-29,27,39,58,60,68,85,45,82
2023-08-01,11,32,36,40,54,63,78,57
